I_Id,I_Name,I_cat,I_rs,I_loc,I_ki,istock
362,HALF DAL FRY,26,40,0,2,0
363,HALF PLAIN RICE,26,30,0,2,0
484,PANNIR BT MASALA,30,130,0,2,0
335,CHEEZ PAV BAJI,23,100,0,1,0
510,S/ITALIYAN PIZA,20,150,0,2,-1
408,PURI BAJI,16,100,0,2,0
378,HALF PANNIR CHILLY DRY,26,70,0,2,0
364,HALF VEG PULAV,26,50,0,2,0
420,GULAB JAMUN 1Kg,13,280,0,0,0
351,HALF PLAIN PALAK,26,50,0,2,0
511,SP PAV BAJI,23,90,0,1,0
495,ITALIYAN PIZA,30,150,0,2,0
422,GULAB JAMUN,13,40,0,0,0
480,PLIN PALAK,30,90,0,2,0
419,MINI THALI PARCEL,1,85,0,2,-2
471,MASHRUM FRID RICE,30,140,0,2,0
427,MYSUR MASAL CUTTING,18,110,0,1,-2
346,HALF PANNIRTIKKA MASALA,26,70,0,2,0
347,HALF PAN BTUR MASALA,26,70,0,2,0
348,HALE  SHAI PANNIR,26,80,0,2,0
349,HALF MIX VEG,26,50,0,2,0
350,HALF PALAK PANNIR,26,70,0,2,0
338,BUTTER SCOCH  C,12,25,0,0,0
339,PINA LEMAN SUNDAY,12,30,0,0,0
340,AMERICON NUT C,12,35,0,0,0
341,CHOKO  SUNDAY  C,12,30,0,0,0
342,RAJ BOG  C,12,35,0,0,0
343,LONA VALA  C,12,40,0,0,0
344,MANGO JUICE,21,40,0,0,0
469,VEG FRID RICE,30,120,0,2,0
407,ONIYAN MASALA DOSA,17,95,0,1,0
521,BUTER SADA,31,90,0,1,0
406,SOUTH INDIAN PARSEL,17,1,0,1,0
397,DAL VAD..,27,50,0,1,-1
437,DAL VADA,29,50,0,1,0
381,MINARAL WATAR,21,20,0,0,2
382,CUTTING MASALA,17,70,0,1,0
380,PARADI MASALA,18,90,0,1,0
483,SIMLA MUTAR,30,100,0,2,0
482,SUKKA JERA ALU BAJI,30,100,0,2,0
409,PLAIN PALAK,1,90,0,2,0
410,DUM ALU KASHMIRI,1,90,0,2,0
515,PALAK DOSA,31,99,0,1,0
393,MIX UTTHAP,27,70,0,1,-1
