id,sub_category_id,name,price,desc,img,created_at,updated_at,deleted_at
,23,EXTRA PAV,7,W,EXTRA PAV.jpg,,,
,16,PLAIN IDLY ,30,P,PLAIN IDLY .jpg,,,
,9,PANNIR PAKODA,140,I,PANNIR PAKODA.jpg,,,
,23,FINGAR CHEPSS,90,W,FINGAR CHEPSS.jpg,,,
,20,VEG CHEESE PIZA,120,T,VEG CHEESE PIZA.jpg,,,
,20,JAIN PIZA,120,T,JAIN PIZA.jpg,,,
,20,PLAIN CHEESE PIZAA,130,T,PLAIN CHEESE PIZAA.jpg,,,
,20,MUSHRUM ONIYAN PIZA,140,T,MUSHRUM ONIYAN PIZA.jpg,,,
,20,ITELYAN PIZA,140,T,ITELYAN PIZA.jpg,,,
,24,VEG SANDWICH,50,X,VEG SANDWICH.jpg,,,
,24,VEG SANDWICH TOST,50,X,VEG SANDWICH TOST.jpg,,,
,24,VEG SANDWICH GREEL,60,X,VEG SANDWICH GREEL.jpg,,,
,24,VEG CHEEZ SANDWICH,60,X,VEG CHEEZ SANDWICH.jpg,,,
,24,VEG CHEEZ SANDWICH TOST,70,X,VEG CHEEZ SANDWICH TOST.jpg,,,
,24,VEG CHEZ SANDWICH GREEL,80,X,VEG CHEZ SANDWICH GREEL.jpg,,,
,24,CHEZ SANDWICHI,60,X,CHEZ SANDWICHI.jpg,,,
,24,CHEZ SANDWICH TOST,70,X,CHEZ SANDWICH TOST.jpg,,,
,24,CHEZ SANDWICH GREEL,80,X,CHEZ SANDWICH GREEL.jpg,,,
,24,CLUB SANDWICHI,90,X,CLUB SANDWICHI.jpg,,,
,24,JAM BREED,30,X,JAM BREED.jpg,,,
,24,BRED BUTTER,50,X,BRED BUTTER.jpg,,,
,21,LAIM WATER,30,U,LAIM WATER.jpg,,,
,21, Lassi/s&st/softdriks,40,U, Lassi/s&st/softdriks.jpg,,,
,21,LASSI SWEET,40,U,LASSI SWEET.jpg,,,
,21,LASSI KARA,40,U,LASSI KARA.jpg,,,
,21,CHASS,20,U,CHASS.jpg,,,
,21,SP LASSI,60,U,SP LASSI.jpg,,,
,21,ORENG JUICE,60,U,ORENG JUICE.jpg,,,
,21,MUSANBI JUICE,60,U,MUSANBI JUICE.jpg,,,
,3,GREEN SALAD,60,C,GREEN SALAD.jpg,,,
,3,PAINAPAL RAITH,60,C,PAINAPAL RAITH.jpg,,,
,3,BUNDHI RAITHA,60,C,BUNDHI RAITHA.jpg,,,
,3,VEG RAITHA,50,C,VEG RAITHA.jpg,,,
,3,CURD,40,C,CURD.jpg,,,
,3,FRIED PAPAD,20,C,FRIED PAPAD.jpg,,,
,3,ROSTED PAPAD,20,C,ROSTED PAPAD.jpg,,,
,3,MASALA PAPAD,40,C,MASALA PAPAD.jpg,,,
,3,CHEZ MASALA PAPAD,70,C,CHEZ MASALA PAPAD.jpg,,,
,1,KAJU METHI/ MALAI,150,A,KAJU METHI/ MALAI.jpg,,,
,1,KAJU KARI,150,A,KAJU KARI.jpg,,,
,1,VEG JAIPURI,120,A,VEG JAIPURI.jpg,,,
,1,VEG AMRUTSARI,130,A,VEG AMRUTSARI.jpg,,,
,1,MIX VEG,90,A,MIX VEG.jpg,,,
